playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
donovbi01,1909,DET,AL,WS,P,2,2,36,0,5,1,0,false,,4,2
jonesda01,1909,DET,AL,WS,CF,1,0,3,0,0,0,0,false,,,
jonesda01,1909,DET,AL,WS,LF,7,7,180,14,0,1,0,false,,,
jonesto01,1909,DET,AL,WS,1B,7,7,180,73,1,1,1,false,,,
mcintma01,1909,DET,AL,WS,LF,1,0,3,0,0,0,0,false,,,
moriage02,1909,DET,AL,WS,3B,7,7,162,7,15,0,2,false,,,
mullige01,1909,DET,AL,WS,P,4,3,96,0,12,0,0,false,,7,1
olearch01,1909,DET,AL,WS,3B,1,0,21,1,1,0,0,false,,,
schmibo01,1909,DET,AL,WS,C,6,5,138,31,10,3,3,false,0,15,6
stanaos01,1909,DET,AL,WS,C,2,2,45,12,2,0,0,false,0,3,0
summeed01,1909,DET,AL,WS,P,2,2,22,0,2,0,0,false,,4,0
willeed01,1909,DET,AL,WS,P,2,0,23,1,3,1,0,false,,2,3
worksra01,1909,DET,AL,WS,P,1,0,6,0,1,0,0,false,,1,0
abstebi01,1909,PIT,NL,WS,1B,7,7,183,70,4,5,3,false,,,
adamsba01,1909,PIT,NL,WS,P,3,3,81,0,5,0,0,false,,3,1
byrnebo01,1909,PIT,NL,WS,3B,7,7,156,11,15,0,2,false,0,0,0
camniho01,1909,PIT,NL,WS,P,2,1,10,0,2,0,0,false,,1,1
clarkfr01,1909,PIT,NL,WS,LF,7,7,183,19,0,1,0,false,,,
gibsoge01,1909,PIT,NL,WS,C,7,7,183,28,10,0,0,false,0,6,6
hyattha01,1909,PIT,NL,WS,CF,1,0,27,0,0,0,0,false,,,
leachto01,1909,PIT,NL,WS,3B,1,0,27,4,2,0,0,false,,,
leachto01,1909,PIT,NL,WS,CF,7,7,156,16,1,0,0,false,0,0,0
leifile01,1909,PIT,NL,WS,P,1,1,12,0,5,0,0,false,,0,1
maddoni01,1909,PIT,NL,WS,P,1,1,27,0,1,0,0,false,,0,1
