playerid,yearid,votedby,ballots,needed,votes,inducted,category,needed_note
granted01,1938,BBWAA,262,197,1,false,Player,
grimebu01,1938,BBWAA,262,197,1,false,Player,
harribu01,1938,BBWAA,262,197,1,false,Manager,
herzobu01,1938,BBWAA,262,197,1,false,Player,
irwinch01,1938,BBWAA,262,197,1,false,Player,
jonesfi01,1938,BBWAA,262,197,1,false,Player,
lathaar01,1938,BBWAA,262,197,1,false,Player,
loberha01,1938,BBWAA,262,197,1,false,Player,
longhe01,1938,BBWAA,262,197,1,false,Player,
luquedo01,1938,BBWAA,262,197,1,false,Player,
marbefi01,1938,BBWAA,262,197,1,false,Player,
meusebo01,1938,BBWAA,262,197,1,false,Player,
milancl01,1938,BBWAA,262,197,1,false,Player,
moranpa01,1938,BBWAA,262,197,1,false,Player,
murrare01,1938,BBWAA,262,197,1,false,Player,
perduhu01,1938,BBWAA,262,197,1,false,Player,
ricesa01,1938,BBWAA,262,197,1,false,Player,
sheckji01,1938,BBWAA,262,197,1,false,Player,
shockur01,1938,BBWAA,262,197,1,false,Player,
stahlja01,1938,BBWAA,262,197,1,false,Player,
streega01,1938,BBWAA,262,197,1,false,Player,
thomair01,1938,BBWAA,262,197,1,false,Player,
willicy01,1938,BBWAA,262,197,1,false,Player,
zimmech01,1938,BBWAA,262,197,1,false,Player,
cartwal99,1938,Centennial,,,,true,Pioneer/Executive,
chadwhe99,1938,Centennial,,,,true,Pioneer/Executive,
sislege01,1939,BBWAA,274,206,235,true,Player,
collied01,1939,BBWAA,274,206,213,true,Player,
keelewi01,1939,BBWAA,274,206,207,true,Player,
wadderu01,1939,BBWAA,274,206,179,false,Player,
hornsro01,1939,BBWAA,274,206,176,false,Player,
chancfr01,1939,BBWAA,274,206,158,false,Player,
delahed01,1939,BBWAA,274,206,145,false,Player,
walshed01,1939,BBWAA,274,206,132,false,Player,
eversjo01,1939,BBWAA,274,206,107,false,Player,
huggimi01,1939,BBWAA,274,206,97,false,Manager,
maranra01,1939,BBWAA,274,206,82,false,Player,
colliji01,1939,BBWAA,274,206,72,false,Player,
bresnro01,1939,BBWAA,274,206,67,false,Player,
clarkfr01,1939,BBWAA,274,206,59,false,Player,
brownmo01,1939,BBWAA,274,206,54,false,Player,
robinwi01,1939,BBWAA,274,206,46,false,Manager,
bendech01,1939,BBWAA,274,206,40,false,Player,
pennohe01,1939,BBWAA,274,206,40,false,Player,
schalra01,1939,BBWAA,274,206,35,false,Player,
duffyhu01,1939,BBWAA,274,206,34,false,Player,
youngro01,1939,BBWAA,274,206,34,false,Player,
jennihu01,1939,BBWAA,274,206,33,false,Player,
mcginjo01,1939,BBWAA,274,206,32,false,Player,
bakerfr01,1939,BBWAA,274,206,30,false,Player,
cochrmi01,1939,BBWAA,274,206,28,false,Player,
jossad01,1939,BBWAA,274,206,28,false,Player,
planked01,1939,BBWAA,274,206,28,false,Player,
friscfr01,1939,BBWAA,274,206,26,false,Player,
griffcl01,1939,BBWAA,274,206,20,false,Pioneer/Executive,
terrybi01,1939,BBWAA,274,206,16,false,Player,
